id,variant_id,attribute_value_id,created_at
0083fedf-17a1-49b8-977b-9341529db53c,a56c9e3e-89a8-4aa0-a8af-ae1d5cd0f185,7904c732-f37b-47a1-b975-263a7188c351,2025-07-12 14:40:04.911744+00
036c13fd-d221-47fe-9fa2-ea13445b0936,4650b23c-10cf-444c-88f5-95fc68eb7a61,cee81d8f-2110-45bc-ab37-d0bdb63efe61,2025-06-08 09:24:04.533502+00
0dea8f9d-7bc2-45ef-bbc9-776cc6c87e84,81c9e0f6-a256-462b-ba97-fc730f1fca30,49c42b4a-c5d0-40f0-b07a-3c80de0a7508,2025-07-12 16:04:58.045478+00
14632296-0d52-41f4-b9bb-d2e4341d3b23,81c9e0f6-a256-462b-ba97-fc730f1fca30,9a2a6bab-cfce-4bc4-ac46-29d35000b1a5,2025-07-12 16:04:58.045478+00
2b40528a-810c-40a1-be26-459f8f2fceba,4883ca84-50a6-4cbd-99e9-1a68f2993c3b,49c42b4a-c5d0-40f0-b07a-3c80de0a7508,2025-07-12 15:59:53.292775+00
2bb1667a-5d03-4723-804a-9443a581dc59,e15b89ba-8f87-47e7-8674-141f96f82866,98e67831-6ae9-4773-886e-c2fa3d0dd8ce,2025-06-08 09:09:46.047835+00
3ca72aff-3ab7-485c-b41d-88801823e0fb,6706be23-0d29-4860-baf7-370dc2e7d9c8,fcb601aa-920f-41ed-bcb4-b98a94d710bc,2025-07-12 15:59:53.979776+00
4c153cc8-c42b-483a-a5f7-a1d51f0282a6,ca5ef95d-fa8a-480c-ba9d-d3556b4c9fc5,98e67831-6ae9-4773-886e-c2fa3d0dd8ce,2025-06-05 19:13:01.590739+00
5251c5ef-fc46-489d-b00c-b3182c6a5341,7d58eef4-4d97-4a3f-8173-7e4de8ef9bc7,49c42b4a-c5d0-40f0-b07a-3c80de0a7508,2025-07-12 16:04:58.674949+00
5a5ff12d-5f7f-4f08-9a54-d17f43a64f98,7ba389da-6ea4-45b4-8fa6-38c0081f16dd,d69a0c05-d115-4d0d-9f9f-45eda1d0d885,2025-07-12 16:04:59.7038+00
60fd62ee-679d-4c31-8e84-ad68f9a92058,4650b23c-10cf-444c-88f5-95fc68eb7a61,7904c732-f37b-47a1-b975-263a7188c351,2025-06-08 09:24:04.308475+00
68a6637c-17d6-48e5-ba57-58152cbaa95a,ca5ef95d-fa8a-480c-ba9d-d3556b4c9fc5,cc98cffa-379a-4bf3-95f3-7053ac0a9314,2025-06-05 19:13:01.324685+00
6dfec4a5-edb9-4b14-93b1-bf878148a2fe,a56c9e3e-89a8-4aa0-a8af-ae1d5cd0f185,98e67831-6ae9-4773-886e-c2fa3d0dd8ce,2025-07-12 14:40:05.660311+00
80ddc56d-0780-46d9-b179-b5f5a7e5316f,e7239323-0d45-401d-b41c-2d7aed92750c,fcb601aa-920f-41ed-bcb4-b98a94d710bc,2025-07-12 15:59:54.94375+00
9556fcdf-bf6b-4e6f-b13c-7af28c917346,e9c61bd1-5c21-436e-a394-eae85f8272fc,98e67831-6ae9-4773-886e-c2fa3d0dd8ce,2025-06-08 10:52:44.740779+00
9d47d8b4-667d-4032-bbcd-77ce945423c4,7d58eef4-4d97-4a3f-8173-7e4de8ef9bc7,fcb601aa-920f-41ed-bcb4-b98a94d710bc,2025-07-12 16:04:58.674949+00
a3725b2f-3429-4e15-879f-c154421f6ded,e9c61bd1-5c21-436e-a394-eae85f8272fc,7904c732-f37b-47a1-b975-263a7188c351,2025-06-08 10:52:44.286041+00
afe5fcf0-6817-4ec3-9ad2-5f0890d50d68,7ba389da-6ea4-45b4-8fa6-38c0081f16dd,fcb601aa-920f-41ed-bcb4-b98a94d710bc,2025-07-12 16:04:59.7038+00
ca01a1d2-4cf2-4584-8649-03b8f155e115,d3476576-0d6e-4bf8-ae20-2f6892c003cb,9a2a6bab-cfce-4bc4-ac46-29d35000b1a5,2025-07-12 16:04:59.150587+00
cbe1aefc-154e-4785-b662-41e90cefa567,d3476576-0d6e-4bf8-ae20-2f6892c003cb,d69a0c05-d115-4d0d-9f9f-45eda1d0d885,2025-07-12 16:04:59.150587+00
da4a2b53-4786-46ea-b30d-28fed4d5a4f1,4883ca84-50a6-4cbd-99e9-1a68f2993c3b,9a2a6bab-cfce-4bc4-ac46-29d35000b1a5,2025-07-12 15:59:53.292775+00
db783472-7290-4a78-80e5-1bd83d62ab1d,e7239323-0d45-401d-b41c-2d7aed92750c,d69a0c05-d115-4d0d-9f9f-45eda1d0d885,2025-07-12 15:59:54.94375+00
dbb7c534-8e15-49ac-a5a6-b0a7cd024172,e15b89ba-8f87-47e7-8674-141f96f82866,7934dc74-2076-484a-9aed-a6efb535cc26,2025-06-08 09:09:46.358662+00
e0f0ee48-7c81-4860-886d-a28953855112,c38af4a3-8901-4982-95dd-ea240e7c34c2,9a2a6bab-cfce-4bc4-ac46-29d35000b1a5,2025-07-12 15:59:54.46861+00
e304baa3-db0e-4e3c-a008-75f158276a62,a56c9e3e-89a8-4aa0-a8af-ae1d5cd0f185,cc98cffa-379a-4bf3-95f3-7053ac0a9314,2025-07-12 14:40:05.182176+00
e7f1f319-2d8a-4db2-a61c-fbe896e1186f,92f10884-fb07-454f-850b-da9e7614b460,49c42b4a-c5d0-40f0-b07a-3c80de0a7508,2025-07-12 15:40:55.622288+00
e88d0d87-5b3a-49de-ae20-c1c42bccaad4,6706be23-0d29-4860-baf7-370dc2e7d9c8,49c42b4a-c5d0-40f0-b07a-3c80de0a7508,2025-07-12 15:59:53.979776+00
f1e89d20-e297-46d9-be85-bfd1f348a863,92f10884-fb07-454f-850b-da9e7614b460,9a2a6bab-cfce-4bc4-ac46-29d35000b1a5,2025-07-12 15:40:55.622288+00
f7621157-06e1-4479-8ab1-4c9ad2cd6bed,c38af4a3-8901-4982-95dd-ea240e7c34c2,d69a0c05-d115-4d0d-9f9f-45eda1d0d885,2025-07-12 15:59:54.46861+00
ff0e38ae-fdac-4fbe-9c68-e023cbd77935,a56c9e3e-89a8-4aa0-a8af-ae1d5cd0f185,6cd8d778-851f-4ab7-81ee-8ef407bfe891,2025-07-12 14:40:05.431926+00